Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_VIXD,CBOE S&P 500 Volatility Index (VIX),Stocks - Technical Indicators,Non Currency Series,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1986 To Apr 2022<BR>,,
Date,Ticker,Open,High,Low,Close
01/02/1986,_VIXD,,,,18.07
01/03/1986,_VIXD,,,,17.96
01/06/1986,_VIXD,,,,17.05
01/07/1986,_VIXD,,,,17.39
01/08/1986,_VIXD,,,,19.97
01/09/1986,_VIXD,,,,20.2
01/10/1986,_VIXD,,,,18.45
01/13/1986,_VIXD,,,,18.8
01/14/1986,_VIXD,,,,18.06
01/15/1986,_VIXD,,,,18.87
01/16/1986,_VIXD,,,,18.58
01/17/1986,_VIXD,,,,17.99
01/20/1986,_VIXD,,,,17.09
01/21/1986,_VIXD,,,,16.86
01/22/1986,_VIXD,,,,16.66
01/23/1986,_VIXD,,,,17.14
01/24/1986,_VIXD,,,,17.22
01/27/1986,_VIXD,,,,17.38
01/28/1986,_VIXD,,,,17.47
01/29/1986,_VIXD,,,,18.76
01/30/1986,_VIXD,,,,19.12
01/31/1986,_VIXD,,,,19.58
02/03/1986,_VIXD,,,,19.41
02/04/1986,_VIXD,,,,20.82
02/05/1986,_VIXD,,,,20.72
02/06/1986,_VIXD,,,,21.07
02/07/1986,_VIXD,,,,22.12
02/10/1986,_VIXD,,,,20.4
02/11/1986,_VIXD,,,,20.23
02/12/1986,_VIXD,,,,19.53
02/13/1986,_VIXD,,,,18.13
02/14/1986,_VIXD,,,,17.96
02/17/1986,_VIXD,,,,17.96
02/18/1986,_VIXD,,,,19.79
02/19/1986,_VIXD,,,,20.72
02/20/1986,_VIXD,,,,20.76
02/21/1986,_VIXD,,,,21.27
02/24/1986,_VIXD,,,,21.52
02/25/1986,_VIXD,,,,22.05
02/26/1986,_VIXD,,,,22.38
02/27/1986,_VIXD,,,,21.39
02/28/1986,_VIXD,,,,21.59
03/03/1986,_VIXD,,,,21.17
03/04/1986,_VIXD,,,,19.94
03/05/1986,_VIXD,,,,20.42
03/06/1986,_VIXD,,,,21.66
03/07/1986,_VIXD,,,,21.39
03/10/1986,_VIXD,,,,21.49
03/11/1986,_VIXD,,,,21.87
03/12/1986,_VIXD,,,,23.14
03/13/1986,_VIXD,,,,24.29
03/14/1986,_VIXD,,,,24.83
03/17/1986,_VIXD,,,,25.45
03/18/1986,_VIXD,,,,26.27
03/19/1986,_VIXD,,,,25.82
03/20/1986,_VIXD,,,,26.52
03/21/1986,_VIXD,,,,26.91
03/24/1986,_VIXD,,,,24.01
03/25/1986,_VIXD,,,,24.4
03/26/1986,_VIXD,,,,24.81
03/27/1986,_VIXD,,,,23.56
